0.120	1
0.620	2
1.100	3
1.600	4
2.100	1
2.580	2
3.060	3
3.520	4
4.020	1
4.500	2
5.000	3
5.500	4
5.980	1
6.460	2
6.940	3
7.420	4
7.900	1
8.380	2
8.880	3
9.340	4
9.840	1
10.360	2
10.840	3
11.340	4
11.820	1
12.320	2
12.820	3
13.320	4
13.800	1
14.280	2
14.800	3
15.300	4
15.800	1
16.300	2
16.780	3
17.260	4
17.760	1
18.240	2
18.720	3
19.220	4
19.700	1
20.160	2
20.640	3
21.140	4
21.640	1
22.120	2
22.600	3
23.080	4
23.580	1
24.100	2
24.620	3
25.120	4
25.620	1
26.080	2
26.580	3
27.080	4
27.580	1
28.060	2
28.520	3
28.960	4
29.380	1
29.800	2
